name,ticker,year,controversy,environment,social,governance,annual_return,sd
AGILENT TECHS.,A,2022,96.105926,76.50898,91.123892,78.606108,0.099897,0.298051
AMERICAN AIRLINES GROUP,AAL,2022,26.477227,57.715383,67.870226,69.269136,-0.033776,0.445479
APPLE,AAPL,2022,13.609379,57.347876,64.948475,83.341488,0.364366,0.296774
ABBVIE,ABBV,2022,49.724384,67.777324,89.826173,62.068122,0.190827,0.248052
AIRBNB A,ABNB,2022,56.9799,22.519446,52.880856,11.272551,0.217906,0.463148
ABBOTT LABORATORIES,ABT,2022,55.028134,69.978039,82.966398,78.576018,0.10458,0.194798
ARCH CAP.GP.,ACGL,2022,86.743792,20.629833,39.853807,49.082604,0.151117,0.19551
ACCENTURE CLASS A,ACN,2022,93.730066,76.28723,79.660463,79.157655,0.156947,0.210004
ADOBE (NAS),ADBE,2022,81.949892,73.681437,74.262749,69.531018,0.180644,0.294591
ANALOG DEVICES,ADI,2022,91.192563,81.560535,64.952314,69.433839,0.118584,0.240695
ARCHER DANIELS MIDLAND,ADM,2022,74.746086,69.51859,72.147398,76.379637,0.08828,0.255668
AUTOMATIC DATA PROC.,ADP,2022,99.448113,35.132811,71.25875,69.886323,0.093555,0.195722
AUTODESK,ADSK,2022,99.935944,70.898263,70.545588,87.158814,0.160928,0.354145
AMEREN,AEE,2022,92.819254,38.565486,31.464878,66.44659,0.070728,0.173113
AMER.ELEC.PWR.,AEP,2022,96.604429,64.246693,68.255132,64.215998,0.071774,0.191694
AES,AES,2022,95.035804,43.609909,64.249698,95.127136,0.027141,0.276886
AFLAC,AFL,2022,84.858794,38.196869,59.105133,56.648523,0.113533,0.244603
AMERICAN INTL.GP.,AIG,2022,52.561846,54.411776,55.018107,70.844231,-0.114419,0.398949
ASSURANT,AIZ,2022,95.606211,28.223588,58.599976,73.397538,0.108115,0.246409
ARTHUR J GALLAGHER,AJG,2022,93.056742,30.490001,49.494146,67.434701,0.189654,0.180499
AKAMAI TECHS.,AKAM,2022,89.221398,57.865094,47.401587,65.407691,0.154281,0.359176
ALBEMARLE,ALB,2022,69.860248,51.743329,77.72918,74.053423,0.136609,0.33338
ALIGN TECHNOLOGY,ALGN,2022,89.774935,18.140873,34.490899,57.720852,0.193171,0.443993
ALLSTATE ORD SHS,ALL,2022,84.972018,78.152513,74.304652,72.870875,0.093445,0.22218
ALLEGION,ALLE,2022,100.0,47.342502,59.043652,52.111374,0.110878,0.232457
APPLIED MATS.,AMAT,2022,99.789861,76.145221,69.223344,80.191443,0.146175,0.309729
AMCOR,AMCR,2022,98.601205,69.730717,67.116112,77.161123,0.002767,0.233278
ADVANCED MICRO DEVICES,AMD,2022,77.86638,66.655711,72.54236,61.315207,0.106656,0.578246
AMETEK,AME,2022,98.981057,31.00145,38.238068,48.316063,0.15488,0.217433
AMGEN,AMGN,2022,67.863209,72.117347,73.365167,64.419828,0.092762,0.239709
AMERIPRISE FINL.,AMP,2022,92.995585,32.629521,69.257165,76.104469,0.152045,0.300178
AMERICAN TOWER,AMT,2022,99.641196,63.156255,69.216766,69.580963,0.175781,0.21552
