ticker,esg_combined,controversy,environment,social,governance,human_rights,community,workforce,product_responsibility,shareholders,management,name
A,82.89247053288915,96.2600802082548,76.56441608250383,91.02691912075491,77.50417302998387,90.08094218084766,90.18700798568679,94.77101560368116,90.17509886687141,80.46724994880651,75.54601814610916,AGILENT TECHS.
AAL,43.07376900924537,24.67444987193209,57.801597557628384,67.68567527098723,68.03327788264835,53.210509919854914,84.75492596642188,81.86579609197543,39.331899141056795,86.80317648027099,61.77017344513026,AMERICAN AIRLINES GROUP
AAPL,37.49837607449242,13.789569615246808,57.17422845391669,64.7355676680566,82.7032161371649,68.08708822195648,77.76534320578665,70.79490290893456,42.484690836336746,84.76022778799008,83.33470386986232,APPLE
ABBV,57.78802632772427,47.21408757069453,67.99750346597445,89.8157812988491,61.866141164903,90.70220314616256,88.15398994695605,93.19680377716494,86.10073653746286,54.08393190982563,61.4260725461813,ABBVIE
ABNB,24.852372497499996,37.2368421025,23.167968425,53.8685408525,13.5585239675,0.8840959775,45.300375595,57.08853686999999,92.47710221,6.0427685375,11.061380777,AIRBNB A
ABT,63.145539215955075,51.248211664084685,69.753159422035,83.12103758383574,78.7121984848237,63.27033968147385,95.2239150538131,96.63883937273079,81.12892848391871,87.85592515627567,74.86528073568248,ABBOTT LABORATORIES
ACGL,41.25309935112928,86.89149100703534,22.637976108612122,41.33104247606008,49.40230434036536,33.11936674309979,61.26312591895029,32.56542087284203,34.62742465878631,7.982799408173653,69.31185285274296,ARCH CAP.GP.
ACN,78.56565764850197,92.66665485938702,76.35198092144255,79.37900437953347,79.58880750644038,76.47499497657694,96.95106893598415,98.41495361140596,45.319952609417,60.345363807008475,83.34469014789852,ACCENTURE CLASS A
ADBE,67.69662082282407,79.47729548330186,73.68432773099657,73.99359066144103,68.96939582477782,65.71264056652163,99.06777895155473,91.54302268044869,33.54942792456292,53.19612588685919,74.34261501511124,ADOBE (NAS)
ADI,68.92287633204528,91.6538382498857,80.08498630318763,65.54492920536092,69.1053708536431,54.358535218754355,80.18288967873049,63.68556218517863,73.18074995605757,75.99967532149294,65.20576467014592,ANALOG DEVICES
ADM,65.25743397859338,71.85329137246505,68.91972731234,72.19729868616166,74.90554355293493,77.57331023374466,79.49743466391845,68.25827201112504,65.73897119355485,65.13619981428451,76.70272938315664,ARCHER DANIELS MIDLAND
ADP,64.52241002990475,99.48098870592607,34.472168091987946,70.0896279010266,68.74348944402456,32.281908888384976,85.92171157172879,86.97968256000715,58.75846334821664,74.84462529009483,71.29677060459711,AUTOMATIC DATA PROC.
ADSK,78.4698750788977,99.94290776190778,71.28370958955837,70.83766295854636,87.19790738887181,74.59236468813927,88.6507665247751,90.68808311888058,32.31810840412581,70.15141412961466,94.97976876056852,AUTODESK
AEE,42.554085503573965,91.26344070164978,38.252401727836734,32.429521719176726,65.29982457539867,4.052549378899021,75.28155411847388,25.138589815161584,33.27770404623481,92.5255236191775,56.33512861843739,AMEREN
AEP,65.08495881275584,96.06369611875593,64.31959108293563,68.17075566107052,64.79816921296184,12.72981072701725,89.68721570750918,89.27545854099922,53.469491592693295,88.07242924585594,53.13369219155634,AMER.ELEC.PWR.
AES,61.85572513778171,94.94842829930423,43.22141248461956,62.96536980951613,94.71346609224224,53.12309438013101,68.21863605353478,65.86445538244345,60.08524601945095,97.7560076784339,97.81558420974102,AES
AFL,52.15590470593564,85.6510069800135,38.606466007598655,58.812567582304546,56.24768878133029,27.420565756224317,79.32540842149612,69.7674253609174,41.65258843229334,21.097127820406328,65.84778460995216,AFLAC
AIG,49.890131171793236,48.577596188667144,53.84142902048794,55.35556056635389,69.90151856100428,29.60674386091815,83.3986551629874,57.47889378706566,36.693721649707,82.97947588545264,68.89451371116017,AMERICAN INTL.GP.
AIZ,58.82820661933574,95.0800897773309,28.43757306502677,58.99939812772888,72.31699097544247,19.764002869193643,79.98477739977177,51.73867834370442,72.1777101675824,49.514950369497896,85.67212169375459,ASSURANT
AJG,52.81419745919786,92.28570767071989,30.67013178392943,49.33353400060546,66.99291439056996,25.03385598454362,79.11729130788973,47.732562373131024,32.529931843223906,43.97015217391526,79.77725003371458,ARTHUR J GALLAGHER
AKAM,55.82378966149007,88.5773914191289,56.638291835715044,47.43742867805509,64.77396406244229,19.637016565499508,68.90023958181796,49.81128999004932,31.87713278050953,63.43413077675597,69.06512579894306,AKAMAI TECHS.
ALB,60.40866461201388,70.91579164574046,52.417651630641046,77.80583150680673,73.09597827496856,80.50490219658566,87.18929140713485,59.4138702089317,84.6299252784182,43.98849010668636,80.00839164100205,ALBEMARLE
ALGN,42.2608426582543,89.79193325526388,20.914708957466264,36.661757270258995,59.59450081312813,23.51235726769236,51.0781810375148,33.78073510913808,37.40654297538828,45.81563363122514,73.3970063656239,ALIGN TECHNOLOGY
ALK,50.99398629965836,80.47220314833571,42.582164737225185,46.730428385691695,81.04527531444263,40.63636372841875,83.57799356445712,46.850848575378556,11.03025318226444,93.11818397590255,82.03177253045521,ALASKA AIR GROUP
ALL,71.51390590323554,82.64070606126573,78.08160991236079,73.8794166074505,73.3080880566187,27.420565756224317,89.22681040393533,89.54344758013734,68.00126988534947,74.86772639282435,73.84325274332288,ALLSTATE ORD SHS
ALLE,53.72577361693489,100.0,48.66443580608135,59.154805935327985,51.22515530627335,73.40442422484044,63.1617284507867,55.68010053028176,51.68347736460934,22.90047836646705,67.87177950245257,ALLEGION
AMAT,73.85360724865546,99.73584056259728,76.4014045477378,68.37879367276939,79.82969289176856,42.29293298885249,91.94391375176804,79.87780910863827,78.5443550364224,71.81489209115064,84.50827839976515,APPLIED MATS.
AMCR,70.29682405050372,98.39662980996654,69.76460453413814,67.08184933724682,76.56049001677421,62.129421353678424,93.70886082497725,51.693254172271544,68.1262017205065,84.35270425236524,72.79927336641899,AMCOR
AMD,63.639055010495035,78.16982346439643,66.95124918117652,72.27837368867367,61.182272136998364,62.45559462720793,90.905152127647,89.45390482893549,51.58073672589159,70.39450794704506,55.374417240746695,ADVANCED MICRO DEVICES
AME,37.87477717292203,98.68077001978783,30.32381797245793,37.60588403747509,47.28847698941049,13.481281079682748,61.9542510006928,22.906609974624075,55.135072414480646,31.355119244665914,58.221986747644706,AMETEK
AMGN,60.62595930625059,65.38988786830375,71.56351955129087,72.74156116711546,64.67528477356109,62.50513606575717,88.07235744093799,78.08480670844345,65.08670381512106,73.63567191081007,57.12148955763116,AMGEN
AMP,65.41414276057787,92.39208915610227,33.73008982555516,69.31610138201891,74.68606205064583,0.0,90.761966146634,64.01070242906994,63.05674137474926,72.112849007236,84.07463587328827,AMERIPRISE FINL.
AMT,67.26205975414167,99.62510943707858,62.74949516197244,69.35029132667282,70.56610102542933,19.66878283138157,76.82013597721236,77.28521209802267,61.74271477099388,70.30842860734995,73.91989096470762,AMERICAN TOWER
AMZN,39.66262714421516,10.797968310819234,63.90205031816585,72.82622201178562,72.83209837993402,66.229106726552,81.02831127071968,76.01200234966318,63.466374982160886,77.85869471811075,76.93281738859969,AMAZON.COM
ANET,53.23071246936117,91.3532620933628,56.363292432786615,46.588044948958746,59.841588002708846,42.85182135189342,80.46900108767397,49.095403489092995,15.05040808500167,13.809968681505246,76.23820599553524,ARISTA NETWORKS
