Symbol,Name,Year,CSR Strategy Score,Community Score,ESG Combined Score,ESG Controversies Score,ESG Score,Emissions Score,Environment Pillar Score,Environmental Innovation Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,TRDIR Controversies Score,TRDIR Diversity Score,TRDIR Inclusion Score,TRDIR People Development Score,TRDIR Score,Workforce Score,Total Returns,Standard Deviation,Predicted Total Returns
A,AGILENT TECHS.,2002,70.15905316238096,82.68303441619048,70.74148302095239,91.3105242095238,73.38539343095238,80.31237186428571,62.802830501476194,33.333333333333336,69.51893962857143,75.36152994095238,72.61132954761905,75.32087970142857,77.75277525785714,58.78423087904761,80.07272241857143,100.0,28.571428571428573,64.14285714285714,53.714285714285715,61.607142857142854,90.47684471952381,0.16399414285714287,0.2978984761904762,1.64%
AAL,AMERICAN AIRLINES GROUP,2008,69.98495461866666,82.33115443866667,44.85699804,35.08237672313333,60.70805983733333,68.385213832,54.171207829333326,6.322751322666666,60.97161133066666,41.55118454866667,55.224511257466666,42.972229313999996,61.478969332,74.11971604733334,65.413182208,69.57142857142857,42.0,43.142857142857146,49.714285714285715,51.107142857142854,82.44082817066666,0.010724666666666667,0.44138177777777776,0.11%
AAPL,APPLE,2005,61.195534401764704,71.9619478482353,35.94214877352941,25.78657453617647,59.66457250529412,57.96567336235294,50.85597055529412,38.76139089,73.44726166352942,62.63522044235294,72.55172080770589,30.89328112529412,85.54609008823529,84.60021602117646,56.052130897058824,77.8,31.8,74.6,17.4,55.875,57.02136886176471,0.4606485882352941,0.3023784705882353,4.61%
ABBV,ABBVIE,2013,75.12870309111112,84.46752148444445,60.60225390555556,65.63028079088889,71.66570793333334,63.13866549333333,63.51848354777778,14.374256639999999,58.746188985555555,87.87031333222222,57.293866628888885,76.83979082666667,78.60358787,52.66558743444445,84.3086336911111,100.0,32.20726666666667,93.34035,30.840166666666665,65.31634,85.89618212333333,0.2363931111111111,0.24985455555555555,2.36%
ABNB,AIRBNB A,2020,29.136007795,46.61926971,25.253032515,58.157894735,29.320994024999997,50.58007725,22.48075113,0.0,11.136154935,0.9781242350000001,9.304813564,92.61494314000001,33.722201874999996,5.2407242709999995,52.821924034999995,100.0,29.5,27.0,0.0,,47.84109491,0.134128,0.466859,1.34%
ABT,ABBOTT LABORATORIES,2002,78.21854660285715,90.92663727238094,55.80346115428572,51.22261078785715,70.61522971761904,80.95088047714286,55.60341900904762,14.285714285714286,72.4017631957143,53.61613490047619,67.08041914904763,66.34667644,75.56622307571429,86.26172107761904,74.57901061809523,100.0,39.166666666666664,89.33333333333333,48.666666666666664,69.29166666666667,93.90441069857143,0.12607519047619048,0.19298804761904764,1.26%
ACGL,ARCH CAP.GP.,2008,4.6825396826666665,48.627319932,33.874613988,93.69067876733334,33.93417706466666,10.886189708666667,19.38297910053333,5.398669079,44.648146874,13.599753575333333,61.24371909533333,34.380972778,9.2603100838,15.9733109308,32.369538842000004,100.0,19.166666666666668,14.833333333333334,25.333333333333332,55.25,26.364941482,0.16586086666666666,0.19271293333333334,1.66%
ACN,ACCENTURE CLASS A,2004,69.54220949210526,91.91105755421052,69.82536188789473,95.5425496336842,69.98705010842104,75.13513246105263,65.00444416842105,48.288245438947364,69.64679777052632,53.174424693157896,71.28188117947369,42.38386813368421,80.53891694578947,64.26624526105263,72.11805747157894,100.0,72.14285714285714,89.14285714285714,69.57142857142857,82.71428571428571,93.42811346473684,0.16890326315789475,0.2095876315789474,1.69%
ADBE,ADOBE (NAS),2002,42.72767307180953,98.11892846333333,62.25182046809524,82.98692806666666,64.21288598476191,70.30988729142857,54.68092852814285,35.107557198095236,62.484899142857145,40.06435816857143,72.31028297714286,38.26367520857143,70.35945112904763,42.905103743666665,69.54039137,100.0,34.42857142857143,52.42857142857143,59.714285714285715,61.642857142857146,83.20291291428572,0.21504004761904763,0.2911721428571428,2.15%
ADI,ANALOG DEVICES,2005,61.99936089722222,72.99292433111111,65.58126554388889,92.927689595,66.5045165111111,78.79275381444444,75.59431802444445,73.47491899277777,65.05298426444445,47.949527208888895,66.60062298666668,63.84002056333333,75.093299185,61.92993744294444,60.77346829111111,100.0,31.857142857142858,17.857142857142858,47.0,57.5,67.55354273611111,0.13711844444444443,0.2422342777777778,1.37%
ADM,ARCHER DANIELS MIDLAND,2005,51.21863362222222,75.03633536277778,55.09097174111111,75.05183911422222,58.43163829777778,49.87366964111111,53.17927147388889,68.73650708277778,65.80674816666667,57.99690999277777,69.99215317888888,47.247980515555554,53.37342618444445,61.58080782222222,57.507036544444446,94.57142857142857,29.714285714285715,33.285714285714285,49.42857142857143,51.75,55.51938127166667,0.13619394444444446,0.2576912777777778,1.36%
ADP,AUTOMATIC DATA PROC.,2002,23.717901431500003,75.28588850700001,48.7466464185,99.22619047650001,48.7466464185,40.886745647,19.1106580235,3.3845821445,51.089624885,12.146755930000001,55.616722245999995,40.975041652499996,25.5613674479,54.2471159855,56.3505641535,100.0,36.2,66.6,38.6,60.35,78.6207465845,0.11260049999999999,0.19582365,1.13%
ADSK,AUTODESK,2002,58.1635183790909,69.86184301363636,64.67073774272727,99.65034965045453,64.67073774272727,69.1517690890909,55.85343648,44.146362675,77.35282241045455,38.76256435863637,86.04012016681817,26.05801718590909,62.59731314681819,61.18803257545455,53.01498953750001,100.0,32.76927142857143,36.52381428571429,57.09250000000001,56.59638571428572,72.17624059181819,0.25114359090909094,0.3541453636363636,2.51%
AEE,AMEREN,2002,46.733095346666666,75.41945918333333,38.73788921047619,90.23965141571428,38.96043918,45.61747295809524,32.6139936267619,28.756778522380955,61.35080406619047,1.1779636771428572,56.55756676428572,22.60995963,22.531024154761905,87.07340088714285,31.309209254761907,100.0,22.571428571428573,26.571428571428573,44.714285714285715,48.464285714285715,30.545089599047618,0.09401480952380951,0.17345319047619048,0.94%
AEP,AMER.ELEC.PWR.,2002,71.05369504699999,83.8492794925,59.7209898345,89.79156456550001,60.998055364,69.4903516155,59.9513264025,26.941040508049998,68.448298746,7.7733224285,67.1440082805,38.9723893095,78.4167857745,71.0590027575,56.6358983255,100.0,46.0,71.5,59.833333333333336,69.33333333333333,71.619088288,0.0954221,0.19268210000000002,0.95%
AES,AES,2005,52.12832221882353,62.132932255294115,49.30925375705882,90.97247360529411,50.37936216941176,48.076843708235295,32.053760856764704,32.73726263117647,89.15643180294119,26.279648005294117,95.00213173235295,38.22487919647059,13.542519631529412,94.35617176352942,44.51509493823529,100.0,38.833333333333336,22.666666666666668,65.33333333333333,62.125,45.01152804529412,0.09990158823529412,0.2678833529411765,1.00%
AFL,AFLAC,2002,42.08605418561905,84.30576436857143,52.03016177000001,92.34977324285714,53.26117901761906,56.45172588,39.3179587247619,0.0,53.918643999523816,11.61727410095238,62.080345000476186,46.33200879904762,58.25749140714286,34.601367209523815,61.36030490857142,90.14285714285714,42.0,67.71428571428571,51.142857142857146,62.75,78.56302844857143,0.12598214285714285,0.2484669523809524,1.26%
AIG,AMERICAN INTL.GP.,2002,33.72319879619048,72.55180972809524,38.77029327761905,43.75730799009524,49.806792037142856,45.44759161285714,48.16726951190476,31.16944042333333,56.172274769047625,12.98184714047619,58.729596812,43.287934786190476,23.11858365252381,62.613918604285715,49.31977619285714,100.0,33.714285714285715,55.0,37.285714285714285,59.583333333333336,52.40722801809524,0.04144452380952381,0.40622390476190473,0.41%
AIZ,ASSURANT,2004,18.397002286842106,68.9075941031579,46.583526849473685,89.92788461526315,47.57736987947368,22.020906506000003,28.61966996842105,0.0,62.9901377631579,6.357349488421053,75.86787015210525,45.889644311052635,45.52507765326316,49.79312012526316,44.100189707263155,100.0,29.714285714285715,52.0,35.142857142857146,54.214285714285715,40.83358610526316,0.14525933333333332,0.2473942105263158,1.45%
AJG,ARTHUR J GALLAGHER,2008,29.570667614999998,79.29046192785714,50.791929415714286,97.07276557785714,50.791929415714286,14.76379787642857,29.244458700714286,17.57900215,66.65797273714286,18.105474885714283,80.24768938785714,25.262020452857143,3.7083425022142857,46.083787325,47.63534943642857,96.0,26.166666666666668,9.0,39.333333333333336,47.375,51.236690717857144,0.1999824285714286,0.18076564285714286,2.00%
